City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Tiznit,MA,29.5833,-9.5,86.07,32,57,13.53,broken clouds
235,Catio,GW,11.2833,-15.25,75.7,93,100,6.82,moderate rain
236,Gigmoto,PH,13.7796,124.39,87.37,69,100,12.88,overcast clouds
237,Faya,SA,18.3851,42.4509,68.11,68,87,4.25,overcast clouds
238,Butterworth,MY,5.3991,100.3638,80.64,84,20,4.61,few clouds
239,La Ronge,CA,55.1001,-105.2842,80.82,38,40,4.61,scattered clouds
240,Karatau,KZ,43.1667,70.4667,74.08,28,80,10.87,broken clouds
241,Molokovo,RU,58.1661,36.7628,58.3,97,10,5.61,clear sky
242,Syasstroy,RU,60.1367,32.5691,60.21,92,39,7.99,scattered clouds
243,Majene,ID,-3.5403,118.9707,83.8,71,100,7.38,overcast clouds
244,Alta Floresta,BR,-9.8756,-56.0861,71.42,49,0,3.44,clear sky
245,Shache,CN,38.4167,77.2406,85.44,24,100,28.03,overcast clouds
246,Hokitika,NZ,-42.7167,170.9667,59.92,67,91,3.85,light rain
247,Yulara,AU,-25.2406,130.9889,69.64,35,0,8.05,clear sky
248,Lanas,PH,12.0495,121.9185,83.91,75,85,17.52,overcast clouds
249,Goma,CD,-1.6792,29.2228,61.92,72,26,3.2,scattered clouds
250,San Vicente,AR,-26.6167,-54.1333,31.95,78,0,2.77,clear sky
251,Curup,ID,-3.4667,102.5333,76.75,74,13,0.72,few clouds
252,Coquimbo,CL,-29.9533,-71.3436,49.73,87,20,2.3,few clouds
253,Am Timan,TD,11.0297,20.2827,73.53,94,65,4.05,broken clouds
254,Kakori,IN,26.8833,80.8,82.67,84,100,3.0,overcast clouds
255,Silva Jardim,BR,-22.6508,-42.3917,56.48,66,86,5.86,overcast clouds
256,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,75,9.4,broken clouds
257,Alenquer,BR,-1.9417,-54.7383,75.54,82,25,4.21,scattered clouds
258,Asau,RO,46.4333,26.4,67.75,95,0,3.67,clear sky
259,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,0,8.05,clear sky
260,Tautira,PF,-17.7333,-149.15,80.01,76,27,4.9,scattered clouds
261,Tuatapere,NZ,-46.1333,167.6833,50.83,76,100,1.32,overcast clouds
262,Arman,RU,59.7,150.1667,59.63,44,2,16.31,clear sky
263,Port Blair,IN,11.6667,92.75,83.44,82,92,17.25,overcast clouds
264,Flinders,AU,-34.5833,150.8552,63.05,48,0,1.99,clear sky
265,Agirish,RU,61.9247,63.0231,49.37,72,92,3.44,overcast clouds
266,Lalganj,IN,25.8667,85.1833,80.55,82,99,13.91,overcast clouds
267,Bat Khela,PK,34.6167,71.9714,80.92,75,43,1.23,scattered clouds
