City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Soe,ID,2021-07-27 12:53:52,-9.8607,124.284,63.79,88,15,5.88
130,Kruisfontein,ZA,2021-07-27 12:53:53,-34.0033,24.7314,81.88,21,0,21.97
131,Esperance,AU,2021-07-27 12:53:53,-33.8667,121.9,48.04,69,83,22.5
132,Bairiki,KI,2021-07-27 12:53:54,1.3292,172.9752,82.4,74,75,0.0
133,Shingu,JP,2021-07-27 12:53:54,33.7333,135.9833,76.95,82,98,5.88
134,Ternate,ID,2021-07-27 12:53:55,0.8,127.4,81.43,78,67,10.58
135,Sokolo,ML,2021-07-27 12:53:55,14.7328,-6.1219,90.54,44,88,11.5
136,Taltal,CL,2021-07-27 12:53:55,-25.4,-70.4833,60.39,56,0,3.96
137,Visnes,NO,2021-07-27 12:53:56,59.3556,5.2242,69.57,88,75,6.91
138,Rafaela,AR,2021-07-27 12:53:56,-31.2503,-61.4867,44.06,51,0,11.88
139,Shu,KZ,2021-07-27 12:53:56,43.5983,73.7614,91.31,19,0,18.21
140,Flin Flon,CA,2021-07-27 12:53:57,54.7682,-101.865,62.44,82,20,5.75
141,Denpasar,ID,2021-07-27 12:53:57,-8.65,115.2167,78.46,89,20,6.91
142,Padang,ID,2021-07-27 12:53:58,-0.9492,100.3543,82.45,85,27,2.84
143,Butaritari,KI,2021-07-27 12:53:58,3.0707,172.7902,81.75,77,100,10.18
144,Nikolskoye,RU,2021-07-27 12:53:58,59.7035,30.7861,87.69,29,60,6.6
145,Saskylakh,RU,2021-07-27 12:53:59,71.9167,114.0833,62.85,60,9,15.73
146,Hoima,UG,2021-07-27 12:53:59,1.4356,31.3436,81.73,38,69,4.5
147,Saint George,US,2021-07-27 12:51:02,37.1041,-113.5841,74.53,94,1,1.99
148,Tasiilaq,GL,2021-07-27 12:54:00,65.6145,-37.6368,40.1,84,31,3.0
149,Guaymas,MX,2021-07-27 12:54:00,27.9333,-110.9,79.88,62,1,3.69
150,Longyearbyen,SJ,2021-07-27 12:54:01,78.2186,15.6401,46.24,81,75,6.91
151,De-Kastri,RU,2021-07-27 12:54:01,51.4667,140.7833,65.05,99,100,2.57
152,Yerofey Pavlovich,RU,2021-07-27 12:54:01,53.9667,121.9667,65.17,78,100,2.01
153,Summerland,CA,2021-07-27 12:54:02,49.5998,-119.6691,69.66,43,40,5.75
154,Northampton,US,2021-07-27 12:49:35,40.8754,-75.2499,78.15,74,0,0.34
155,Sibut,CF,2021-07-27 12:54:02,5.718,19.0739,80.49,77,32,4.29
156,Padampur,IN,2021-07-27 12:54:03,29.6833,73.6167,97.23,43,100,14.05
157,Casper,US,2021-07-27 12:54:03,42.8666,-106.3131,69.51,28,18,7.02
158,Kaeo,NZ,2021-07-27 12:50:10,-35.1,173.7833,51.33,87,28,5.91
159,Cayenne,GF,2021-07-27 12:54:04,4.9333,-52.3333,84.24,79,75,5.75
160,Zhangye,CN,2021-07-27 12:54:04,38.9342,100.4517,82.42,19,100,10.69
161,Jamestown,US,2021-07-27 12:50:21,42.097,-79.2353,73.51,84,1,1.01
162,Lompoc,US,2021-07-27 12:50:17,34.6391,-120.4579,62.56,92,90,0.0
163,Sarahan,IN,2021-07-27 12:54:05,31.5167,77.8,70.27,99,100,3.4
164,Oktyabrskiy,RU,2021-07-27 12:54:05,54.4815,53.471,71.29,51,100,10.58
165,Souillac,MU,2021-07-27 12:54:05,-20.5167,57.5167,72.36,73,75,12.66
166,Saint-Francois,FR,2021-07-27 12:54:06,46.4154,3.9054,78.19,62,90,6.91
167,Tazovskiy,RU,2021-07-27 12:54:06,67.4667,78.7,42.76,96,100,18.66
168,Tateyama,JP,2021-07-27 12:54:07,34.9833,139.8667,82.42,77,99,7.83
169,Murgab,TM,2021-07-27 12:54:07,37.4966,61.9714,103.87,15,0,16.11
170,Saint-Philippe,RE,2021-07-27 12:54:07,-21.3585,55.7679,72.95,74,48,12.37
171,Mizan Teferi,ET,2021-07-27 12:54:08,6.9833,35.5833,65.39,96,96,1.57
172,Los Llanos De Aridane,ES,2021-07-27 12:54:08,28.6585,-17.9182,73.15,79,20,23.02
173,Gao,ML,2021-07-27 12:54:08,16.6362,1.637,93.69,42,100,17.45
174,Sambava,MG,2021-07-27 12:54:09,-14.2667,50.1667,75.09,66,19,16.04
175,Olinda,BR,2021-07-27 12:54:09,-8.0089,-34.8553,76.73,78,40,10.36
176,Chokurdakh,RU,2021-07-27 12:54:10,70.6333,147.9167,36.84,83,100,10.8
177,Bubaque,GW,2021-07-27 12:54:10,11.2833,-15.8333,80.58,77,12,3.15
178,Dunedin,NZ,2021-07-27 12:54:10,-45.8742,170.5036,48.79,63,12,5.99
179,Saint-Leu,RE,2021-07-27 12:54:11,-21.15,55.2833,72.43,69,26,9.62
180,Bagamoyo,TZ,2021-07-27 12:54:11,-6.4333,38.9,86.41,43,79,12.35
181,Itarema,BR,2021-07-27 12:54:11,-2.9248,-39.9167,85.57,52,51,16.62
182,Livramento,BR,2021-07-27 12:54:12,-3.0254,-60.1803,86.68,70,0,2.3
183,Morondava,MG,2021-07-27 12:54:12,-20.2833,44.2833,76.05,55,7,15.82
184,Kahului,US,2021-07-27 12:54:13,20.8947,-156.47,77.85,92,58,11.01
185,Daru,PG,2021-07-27 12:54:13,-9.0763,143.2092,77.25,86,100,15.21
186,Farkhor,TJ,2021-07-27 12:54:14,37.4922,69.4036,103.08,13,0,10.49
187,Juneau,US,2021-07-27 12:53:38,58.3019,-134.4197,56.21,97,100,1.99
188,Alofi,NU,2021-07-27 12:54:14,-19.0595,-169.9187,67.89,100,37,1.14
189,Urengoy,RU,2021-07-27 12:54:15,65.9667,78.3667,48.99,86,100,12.91
190,Puerto Escondido,MX,2021-07-27 12:54:15,15.85,-97.0667,78.42,79,34,4.12
191,Bay Roberts,CA,2021-07-27 12:54:15,47.5999,-53.2648,66.06,96,100,5.01
192,Yaan,NG,2021-07-27 12:54:16,7.3833,8.5667,81.14,59,100,9.06
193,Antalaha,MG,2021-07-27 12:54:16,-14.9003,50.2788,74.98,66,33,10.92
194,Yen Bai,VN,2021-07-27 12:54:17,21.7,104.8667,85.21,78,33,3.11
195,Kyabram,AU,2021-07-27 12:54:17,-36.3167,145.05,57.87,38,100,18.48
196,Gornopravdinsk,RU,2021-07-27 12:54:17,60.05,69.9,58.48,89,100,5.14
197,Champerico,GT,2021-07-27 12:54:18,14.3,-91.9167,82.35,82,57,3.56
198,Opuwo,NA,2021-07-27 12:54:18,-18.0607,13.84,76.93,17,0,10.58
199,Banff,CA,2021-07-27 12:54:19,51.1762,-115.5698,59.49,87,0,1.14
200,Qaanaaq,GL,2021-07-27 12:54:19,77.484,-69.3632,43.65,91,86,10.92
201,Araouane,ML,2021-07-27 12:54:19,18.9048,-3.5265,104.43,21,100,14.7
202,Sitka,US,2021-07-27 12:54:20,57.0531,-135.33,54.72,93,100,2.19
203,Clonakilty,IE,2021-07-27 12:54:20,51.6231,-8.8706,65.41,64,100,13.02
204,Port-Cartier,CA,2021-07-27 12:54:21,50.0334,-66.8654,62.82,92,100,1.05
