City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
387,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
390,Gunjur,GM,78.87,scattered clouds,13.2019,-16.7339,Kuba Lodge
392,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
395,Vanino,RU,75.76,overcast clouds,49.0869,140.2543,Гостиница 5 Звезд
399,Lujiang,CN,84.25,clear sky,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
406,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
407,Talavera,PH,84.25,overcast clouds,15.6167,120.9333,R&G's Resort
411,Gasa,PS,76.98,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
413,Sinnamary,GF,78.19,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
414,Kaifeng,CN,81.46,clear sky,34.7911,114.3483,Pullman Kaifeng Jianye
415,Lamu,KE,75.42,scattered clouds,-2.2717,40.902,Lamu House
416,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
418,Suntar,RU,72.75,scattered clouds,62.1444,117.6319,Дом у Мамы
419,Flagstaff,US,73.06,light rain,35.1981,-111.6513,Drury Inn & Suites Flagstaff
422,Tiarei,PF,80.01,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
425,Temerloh,MY,79.16,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
427,Flin Flon,CA,70.2,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
428,Nador,MA,77.07,scattered clouds,35.174,-2.9287,Hôtel La Giralda
429,Japura,ID,83.19,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
439,Kirensk,RU,77.29,few clouds,57.7853,108.1119,Kirenskiy Plos
448,Hun,LY,76.78,clear sky,29.1268,15.9477,Alrwasi Hotel
451,Firozpur Jhirka,IN,82.02,overcast clouds,27.8,76.95,MOHD MUBARIQUE J.E.
457,Phuket,TH,82.09,light rain,8.0,98.25,The Surin Phuket
458,Faanui,PF,78.08,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
460,Emerald,AU,71.74,clear sky,-23.5333,148.1667,The Irish Village
464,Veraval,IN,82.08,overcast clouds,20.9,70.3667,Lords Inn Somnath
465,Bat Yam,IL,81.64,few clouds,32.0231,34.7503,Ruth Daniel Residence Hotel
468,Magistralnyy,RU,78.39,clear sky,56.1725,107.4458,Магистраль
472,Jacqueville,CI,75.11,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
473,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
479,Bubaque,GW,78.48,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
480,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
483,Yongan,CN,76.75,clear sky,39.6957,113.6871,Beiyue International Hotel
486,Grants,US,73.63,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
493,Yelandur,IN,70.95,overcast clouds,12.0667,77.0333,Syed Hotel
495,Kalmunai,LK,82.2,scattered clouds,7.4167,81.8167,VS Villa
496,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
498,Pio Ix,BR,72.63,few clouds,-6.8375,-40.5792,Hotel Central
499,Suez,EG,76.23,clear sky,29.9737,32.5263,Green House
501,College,US,70.0,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
502,Naliya,IN,81.82,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
505,Sturgis,US,76.14,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
506,Sotouboua,TG,71.38,overcast clouds,8.5667,0.9833,Auberge Médina
507,Bambanglipuro,ID,81.63,broken clouds,-7.95,110.2833,Puri Brata
508,Anloga,GH,77.22,few clouds,5.7947,0.8973,Pin Drop Hotel
510,Illora,ES,74.59,clear sky,37.2877,-3.8811,Cortijo Villa Paraiso en Illora -Granada
515,The Pas,CA,75.22,broken clouds,53.8251,-101.2541,Wescana Inn
517,Nehe,CN,78.75,few clouds,48.4833,124.8333,Vladimir Homestay
520,Pak Chong,TH,80.19,overcast clouds,14.708,101.4161,PakChong Phubade Hotel
521,Manaure,CO,83.25,broken clouds,11.7751,-72.4445,Hotel Palaaima
523,Grand-Santi,GF,72.82,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
524,Itaituba,BR,78.06,broken clouds,-4.2761,-55.9836,Hotel Campos
525,Meulaboh,ID,79.84,overcast clouds,4.1363,96.1285,Kost Pria
529,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
530,Apodi,BR,75.0,scattered clouds,-5.6642,-37.7989,Churrascaria e pousada
531,Dawson Creek,CA,78.44,clear sky,55.7666,-120.2362,Peace Villa Motel
532,Benemerito De Las Americas,MX,72.52,overcast clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
534,Fukue,JP,84.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
535,Broome,US,70.61,broken clouds,42.2506,-75.833,Chenango Valley State Park
536,Labuhan,ID,83.7,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
539,Floresta,BR,74.7,broken clouds,-8.6011,-38.5686,Hotel Floresta
541,Cotonou,BJ,76.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
542,Harper,LR,75.52,overcast clouds,4.375,-7.7169,Screensaver
543,Aksay,RU,72.25,broken clouds,47.26,39.87,Chernaya Zhemchuzhina
554,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
555,Poronaysk,RU,80.22,moderate rain,49.2167,143.1167,Avtovokzal Khostel Stolovaya
557,Lensk,RU,74.8,few clouds,60.7253,114.9278,ТинОрС
558,Phan Thiet,VN,83.8,overcast clouds,10.9333,108.1,Hotel Saigon-PT
559,Suba,PH,84.42,overcast clouds,10.8438,121.0102,Casita Bed and Grill
562,Abeche,TD,75.09,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
565,Varkkallai,IN,78.58,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
573,Itarema,BR,77.72,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
574,Guatire,VE,77.5,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
576,Sao Filipe,CV,75.16,broken clouds,14.8961,-24.4956,Hotel Xaguate
577,Rantepao,ID,78.91,light rain,-2.9701,119.8978,Hotel Luta Resort
578,Saint Anthony,US,77.67,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
579,Mehran,IR,81.88,clear sky,33.1222,46.1646,بوتیک زنانه بهار
580,Radcliff,US,82.81,clear sky,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
585,Shizunai,JP,76.33,clear sky,42.3339,142.3669,Shizunai Eclipse Hotel
587,Saint-Gilles,FR,71.74,clear sky,43.6766,4.4302,Hôtel Restaurant Le Cours
588,Numan,NG,74.12,light rain,9.4667,12.0333,Zangun Motel
592,Jega,NG,75.69,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
596,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
599,Asyut,EG,80.78,overcast clouds,27.181,31.1837,Florence Hotel Assiut
603,Mazamet,FR,71.08,overcast clouds,43.49,2.373,La Villa de Mazamet
604,Toktogul,KG,74.64,broken clouds,41.8708,72.9402,KAGAN
605,Coolum Beach,AU,70.11,clear sky,-26.5333,153.1,Palmer Coolum Resort
606,Sassandra,CI,73.74,overcast clouds,4.95,-6.0833,la terrasse
609,Nemuro,JP,77.43,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
610,Pyapon,MM,83.66,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
612,Valenca,BR,70.72,scattered clouds,-13.3703,-39.0731,Hotel Galeão
613,Port Hedland,AU,75.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
621,Verkhnevilyuysk,RU,72.95,broken clouds,63.4453,120.3167,Gostinitsa Mila
624,Puerto Lopez,CO,73.04,few clouds,4.0845,-72.956,Resguardo Indigena Maguare
627,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
628,Mombasa,KE,72.01,few clouds,-4.0547,39.6636,New Palm Tree Hotel
629,Shieli,KZ,74.88,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
630,Sarh,TD,76.91,thunderstorm with light rain,9.1429,18.3923,Domicile 1sur le goudron
631,Semnan,IR,75.42,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
632,Redcliffe,AU,72.46,clear sky,-27.2307,153.0973,Redvue Apartments
635,Kigoma,TZ,72.66,clear sky,-4.8769,29.6267,MJI Mwema Lodge
639,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
642,Kudahuvadhoo,MV,81.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
643,Iracoubo,GF,77.52,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
644,Tecoanapa,MX,80.71,overcast clouds,16.5167,-98.75,Hotel Manglares
645,Zharkent,KZ,77.5,light rain,44.1628,80.0,гостиница Satti
646,Rohtak,IN,80.69,broken clouds,28.9,76.5667,SPOT ON 66080 Hotel Milan
647,Vao,NC,71.35,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
648,Kediri,ID,83.35,broken clouds,-7.8167,112.0167,Grand Surya Hotel Kediri
650,Cheyenne,US,83.23,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
656,Bouake,CI,75.31,scattered clouds,7.6895,-5.0218,Hotel Residence Nannan
658,Najran,SA,83.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
660,Managua,NI,80.31,clear sky,12.1328,-86.2504,Hotel Dulce Hogar & Spa
663,Joshimath,IN,73.17,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
664,Pidhorodne,UA,70.84,few clouds,48.5753,35.1068,Комфорт
672,Mackay,AU,74.68,overcast clouds,-21.15,149.2,International Lodge Motel
673,Carutapera,BR,75.47,scattered clouds,-1.195,-46.02,Lidera
677,Pontianak,ID,78.78,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
